feature,shap_importance
degree_ma4,4.622274
total_emails_ma4,2.4457324
betweenness_ma4,1.9467994
degree,1.2714746
betweenness_delta,1.1593182
total_emails_delta,0.99736786
betweenness,0.9453295
after_hours_pct_ma4,0.91810423
total_emails,0.84562206
kcore,0.8338962
after_hours_pct_delta,0.71483094
degree_delta,0.6243586
clustering,0.545451
out_degree,0.4029468
after_hours_pct,0.38918886
clustering_ma4,0.34270436
clustering_delta,0.31595433
unique_contacts,0.2048324
out_emails,0.16504605
in_degree,0.1391456
in_emails,0.10339815
out_contacts,0.06804326
in_contacts,0.017265309
closeness,0.0
